numprocesso;ano;modalidade;tipoveiculopublicacao;descricao;nredicao;datapublicacao
16;2024;Chamamento Público;Diário Oficial do Estado;https://www.dioe.pr.gov.br;11753;2024-10-09
17;2024;Chamamento Público;Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11774;2024-11-07
18;2024;Chamamento Público;Endereço Eletrônico;https://sistemas.uel.br/sicor/public/licitacao/consultalicitacoes;;2024-11-28
18;2024;Chamamento Público;Diário Oficial do Estado;;139632;2024-11-28
1;2024;Comparação de Preços (Shopping);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br;11758;2024-10-16
2;2024;Comparação de Preços (Shopping);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br;11758;2024-10-16
1;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-02-22
1;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11594;2024-02-22
2;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11586;2024-02-07
3;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11586;2024-02-07
4;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11586;2024-02-07
6;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11599;2024-02-29
7;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www.gov.br/compras/pt-br;;2024-04-12
7;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-04-14
7;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-04-12
7;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11628;2024-04-12
8;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-02-29
8;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11599;2024-02-29
9;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.folhadelondrina.com.br;3;2024-03-15
9;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11610;2024-03-15
10;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.documentos.dioe.pr.gov.br;11608;2024-03-13
11;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11716;2024-08-19
12;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://sistemas.uel.br/sicor/public/licitacao/consultaLicitacoes;;2024-04-23
12;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www.gov.br/compras/pt-br/;90001;2024-04-23
14;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11619;2024-04-01
14;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-03-28
15;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-04-26
15;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-04-26
15;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11638;2024-04-26
15;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-04-26
16;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-04-08
17;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11625;2024-04-09
18;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11648;2024-05-13
19;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-04-10
22;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11629;2024-04-15
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-06-17
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-06-20
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-06-20
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-05-17
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-05-17
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11656;2024-05-23
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-05-17
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-05-23
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-05-23
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11671;2024-06-17
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-05-23
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11674;2024-06-20
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-06-20
24;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.folhadelondrina.com.br/?d=1;1;2024-06-13
24;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11670;2024-06-14
25;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://valor.globo.com/;;2024-04-29
25;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11639;2024-04-29
26;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11644;2024-05-07
27;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11645;2024-05-08
28;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11655;2024-05-22
29;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://valor.globo.com/;;2024-05-16
29;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11651;2024-05-16
30;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11661;2024-06-03
31;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-08-28
31;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11723;2024-08-28
31;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-08-28
31;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-08-28
32;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11653;2024-05-20
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-06-06
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.gov.com/compras;1;2024-06-12
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11664;2024-06-06
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.documentador.pr.gov.br;1;2024-06-11
34;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11692;2024-07-16
37;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11671;2024-06-17
38;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprenssaoficial.pr.gov.br;11663;2024-06-05
39;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11694;2024-07-18
39;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.folhadelondrina.com.br;3;2024-07-18
40;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-06-11
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&pagina=1;;2024-06-11
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11667;2024-06-11
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://sistemas.uepg.br/producao/pro-reitorias/proad/dimapa/new/licitacao/licit_publicada.php;;2024-06-11
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11676;2024-06-24
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;;;2024-06-11
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;;;2024-06-24
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&pagina=1;;2024-06-24
42;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://sistemas.uepg.br/producao/pro-reitorias/proad/dimapa/new/licitacao/licit_publicada.php;;2024-06-24
43;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.folhadelondrina.com.br;3;2024-08-26
43;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11721;2024-08-26
44;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&pagina=1;;2024-06-19
44;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://sistemas.uepg.br/producao/pro-reitorias/proad/dimapa/new/licitacao/licit_publicada.php;;2024-06-19
44;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11673;2024-06-19
44;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;;;2024-06-19
45;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-06-20
46;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11685;2024-07-05
47;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11725;2024-08-30
48;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11725;2024-08-30
48;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br;11681;2024-07-01
50;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.gov.com/compras;1;2024-07-29
50;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.secid.pr.gov.br/webservices/documentador/pred;1;2024-07-26
50;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-07-25
50;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11699;2024-07-25
51;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;1;2024-09-26
51;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11778;2024-11-13
51;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-11-13
51;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;2;2024-09-26
52;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11721;2024-08-26
55;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11729;2024-09-05
56;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11693;2024-07-17
57;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-07-18
57;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-07-18
57;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-07-18
57;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11694;2024-07-18
58;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-07-23
58;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11697;2024-07-23
58;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-07-23
58;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-07-23
59;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11698;2024-07-24
60;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11698;2024-07-24
61;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-07-12
62;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11745;2024-09-27
65;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-08-01
65;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11704;2024-08-01
65;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-08-01
65;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-08-01
66;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-07-29
66;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-07-29
66;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-07-29
66;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11701;2024-07-29
67;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-07-30
67;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-07-30
67;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-07-30
67;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11702;2024-07-30
68;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-07-29
68;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-07-29
68;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-07-29
68;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11701;2024-07-29
69;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.documentos.dioe.pr.gov.br/dioe/;11712;2024-08-13
70;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-07-30
70;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-07-30
70;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-07-30
70;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11702;2024-07-30
71;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11720;2024-08-23
72;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://sistemas.uel.br/sicor/public/licitacao/consultalicitacoes;;2024-07-29
72;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;11701;2024-07-29
73;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11720;2024-08-23
75;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://midas.unioeste.br/sgav/arqvirtual#/detalhes/?arqVrtCdg=27140;;2024-08-08
76;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11722;2024-08-27
77;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11716;2024-08-19
78;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-09-17
79;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11750;2024-10-04
80;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11738;2024-09-18
81;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.imprensaoficial.pr.gov.br;11740;2024-09-20
82;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;;;2024-08-08
83;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;http://www.imprensaoficial.pr.gov.br/;11726;2024-09-02
83;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-09-02
83;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Endereço Eletrônico;https://www3.unicentro.br/dircom/licitacoes/;;2024-09-02
83;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-09-02
84;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11727;2024-09-03
85;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11745;2024-09-27
86;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11733;2024-09-11
87;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11753;2024-10-09
88;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11737;2024-09-17
91;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11759;2024-10-17
92;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;https://www.imprensaoficial.pr.gov.br/;11722;2024-08-27
93;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11714;2024-08-15
93;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;www.folhadelondrina.com.br;1;2024-08-15
94;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Diário Oficial do Estado;www.dioe.pr.gov.br;11722;2024-08-27
95;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;https://www.gov.br/compras/pt-br;;2024-09-03
95;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Outros Veículos de Publicação;http://www.folhadelondrina.com.br;;2024-09-03
