numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
1;2022;Audiência Pública;Fase Certame;Audiência Pública - materiais didáticos complementares para apoio pedagógico e ensino híbrido, destinados aos estudantes e professores, para melhoria de proficiência em Língua Portuguesa e Matemática, com vistas à melhoria do desempenho dos estudantes no Sistema de Avaliação da Educação Básica - SAEB, composto por módulos para estudante e professor do 6 ao 9 ano do Ensino Fundamental e 1 a 3/4 série do Ensino Médio;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2022-04-05;;;;187163234;
2;2022;Audiência Pública;Fase Certame;Audiência Pública - Equipamentos de Informática;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2022-04-25;;;;187027284;
3;2022;Audiência Pública;Fase Certame;SERVIÇOS CONTINUADOS DE MONITOR DE RESSOCIALIZAÇÃO PRISIONAL, FUNÇÃO OPERACIONAL E ADMINISTRATIVA, com a metodologia de contratação por postos de trabalho, com fornecimento de uniformes e EPIs;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2022-06-02;;;;186508165;
4;2022;Audiência Pública;Fase Certame;Futura contratação de empresa prestadora de serviço especializado em manutenção aeronáutica preventiva, corretiva e preditiva, com fornecimento de peças e demais itens necessários a manter a aeronavegabilidade das aeronaves modelo King Air C90B e 350i, de acordo com o manual de manutenção das aeronaves.;CASA MILITAR-Casa Militar do Estado do Paraná;Não;;;Menor Preço;0.00;;2022-06-13;;;;187404088;
5;2022;Audiência Pública;Fase Certame;Audiência Pública - Grupo Veículos;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2022-06-28;;;;190061760;
6;2022;Audiência Pública;Fase Certame;Serviço de Rastreamento, Monitoramento e Telemetria da Frota;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2022-08-25;;;;192437202;
7;2022;Audiência Pública;Fase Certame;Contratação de empresa especializada na prestação de serviço contínuo referente à administração, gerenciamento, emissão, distribuição, fornecimento e recarga de cartão magnético/eletrônico para a implementação do Programa Estadual de Transferência de Renda - PETR;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2022-10-06;;;;194790805;
8;2022;Audiência Pública;Fase Certame;A presente Audiência Pública visa consultar os eventuais interessados no Termo de Referência relativo ao Registro de Preços para futura e Contratação de empresa especializada, através de pregão eletrônico, para prestação de serviço continuado de monitoração e rastreamento eletrônico de pessoas mediante instalação de dispositivo inviolável que possua transmissão de dados, em tempo real, via rede de telefonia celular, posicionamento por satélite e radiofrequência, com fulcro no art. 83 da Lei Estadual nº 15.608/2007. ;SESP-Secretaria de Estado da Segurança Pública;Não;;;Menor Preço;0.00;;2022-11-30;;;;0185328813;
1;2022;Chamamento Público;Fase Certame;Chamamento Público para prospecção no mercado de empresas que manifestem interesse em apresentar conceitos e tecnologias aplicadas para o atendimento do projeto Monitoramento e Rastreamento.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Não;;;-;0.00;;2022-03-23;;;;185132196;
2;2022;Chamamento Público;Fase Certame;Seleção e contratação de Entidade Fechada de Previdência Complementar - EFPC para administração de plano de benefícios previdenciários dos membros servidores e empregados públicos da Administração direta e indireta dos Poderes Executivo Legislativo e Judiciário Ministério Público Tribunal de Contas e Defensoria Pública do Estado do Paraná;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Melhor Técnica;0.00;;2022-06-06;;;;185336948;
3;2022;Chamamento Público;Fase Certame;"O objeto da presente Chamada Pública é a seleção e classificação de associações e
cooperativas da agricultura familiar, detentoras de DAP CAF Jurídica, que atendam aos
requisitos e às condições de participação do Programa Compra Direta Paraná, estabelecidos
no Decreto Estadual nº 7306 de 13 de abril de 2021 e neste Edital, interessadas em contratar com a Administração Pública para o fornecimento de gêneros alimentícios in natura,
minimamente processados e processados, exclusivamente de produção própria dos
agricultores familiares afiliados, e sua distribuição às entidades da rede socioassistencial
registradas no Sistema de Cadastro do Sistema Único de Assistência Social ou,
na sua ausência, reconhecidas como beneficiárias por Comissão Regional de Segurança
Alimentar e Nutricional CORESAN Conforme Anexo I Termo de Referencia";SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Não;;;Menor Preço;40000000.00;;2022-06-22;;;;187837073;
4;2022;Chamamento Público;Fase Certame;Chamamento público para a qualificação das empresas que manifestem interesse em celebrar parceria de negócio com a Celepar para solução de Banking as a Service, seja de natureza contratual, associativa ou societária, incluindo aplicativo, infraestrutura, tecnologia, segurança, suporte técnico, treinamento, serviços financeiros, backoffice e compliance, conforme condições e exigências estabelecidas neste Edital e seus anexos. ;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Não;;;-;0.00;;2022-09-01;;Rua Mateus Leme 1561 Celepar Bom Retiro Curitiba PR 80520174;;190923967;
1;2022;Concorrência Pública;Homologado;Alienação de Bens Imóveis;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Não;;;Maior Lance;7970000.00;1575000.00;2022-05-24;2022-06-03;;;184279126;
3;2022;Concorrência Pública;Deserto;OUTORGA DE PERMISSÃO DE USO, DE ÁREA ESPECÍFICA DESTINADA À INSTALAÇÃO E EXPLORAÇÃO EM REGIME DE PERMISSÃO DE USO DE ESPAÇO PÚBLICO, PARA INSTALAÇÃO E EXPLORAÇÃO DE SERVIÇOS DE 01 CANTINA UNIVERSITÁRIA NO CAMPUS REGIONAL DE GOIOERÊ - CRG, ESTADO DO PARANÁ;UEM-Universidade Estadual de Maringá;Não;;;Maior Preço;150.00;;2022-02-25;;;;185433099;1 Parcela(s) - Empreitada/Global
4;2022;Concorrência Pública;Homologado;Contratação de empresa de Arquitetura e/ou Engenharia responsável pela elaboração de Projetos Executivos, de Arquitetura, Interiores e Complementares para realização da Obra de Reforma e Adaptação em ambientes específicos do Edifício Sede Campus de Curitiba I EMBAP da Universidade Estadual do Paraná UNESPAR, através de licitação na modalidade concorrência tipo menor preço.;UNESPAR-Universidade Estadual do Paraná;Não;;;Menor Preço;109063.12;88590.00;2022-05-16;2022-06-22;;;182315753;
