numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
1;2021;Audiência Pública;Fase Certame;"AUDIÊNCIA PÚBLICA - Serviços de Hotelaria, higienização, manutenção e conservação hospitalar; Serviços de limpeza, asseio e conservação; Serviços de assistente administrativo; e Serviços de motorista";SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2021-04-20;;;;174332444;
2;2021;Audiência Pública;Fase Certame;SERVIÇOS DE TELEFONIA MÓVEL local e de longa distância ilimitada para qualquer operadora do Brasil, Mensagens curtas - SMS, Mensagens multimídia - MMS, Serviço do tipo pós pago com cobertura de sinal própria em todo território estadual ou através de roaming, pacote de dados móveis compartilhado de 10 GB para uso em tecnologia 4G, e onde não houver rede dotada dessa cobertura,  obrigatoriamente será utilizada a rede de tecnologia inferior, com fornecimento dos aparelhos smartphones, em regime de comodato para atendimento exclusivo às novas demandas do DETRAN  PR, incompatíveis com os serviços utilizados pelos demais órgãos do estado.;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2021-05-28;;;;165977785;
3;2021;Audiência Pública;Fase Certame;Audiência Pública visa consultar os eventuais interessados na licitação a ser deflagrada para concessão de serviços públicos de implantação, operação, manutenção e gestão de pátios veiculares integrados no Estado do Paraná.;DETRAN-Departamento de Trânsito do Estado do Paraná;Não;;;Menor Preço;0.00;;2021-07-12;;;;176465212;
4;2021;Audiência Pública;Fase Certame;Audiência Pública visa consultar os eventuais interessados no Credenciamento de Entidades Médicas e Psicológicas de Trânsito, denominadas Clínicas de Trânsito, pessoas jurídicas de direito público e privado que tenham conjugado a prestação de serviços médicos e psicológicos, para a realização dos Exames de Aptidão Física e Mental, de Avaliação Psicológica e de Junta Medica Especial aos candidatos à primeira habilitação, renovação de Carteira Nacional de Habilitação  CNH, mudança de categoria, reabilitação de condutores e permissionários, ou Avaliação Psicológica para fins pedagógicos para: Diretor Geral e Diretor de Ensino de Centro de Formação de Condutores, examinadores de trânsito, instrutores de trânsito teórico e técnico, registro de estrangeiro e outros motivos que venham a ser exigidos pelo Detran/PR.;DETRAN-Departamento de Trânsito do Estado do Paraná;Não;;;Menor Preço;0.00;;2021-07-15;;;;159609200;
5;2021;Audiência Pública;Fase Certame;Audiência Pública - prestação de serviços continuados de nutrição, cocção e fornecimento de refeições transportadas para atender a demanda dos Presídios, Cadeias, Carceragens de Delegacias da Polícia Civil de gestão plena do DEPEN, gestão plena da Polícia Civil e as compartilhadas entre a Polícia Civil e o DEPEN;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2021-09-03;;;;179332710;12 Mês(es)
6;2021;Audiência Pública;Fase Certame;SERVIÇOS CONTINUADOS DE LOCAÇÃO DE VEÍCULOS EM ÂMBITO ESTADUAL, COM QUILOMETRAGEM LIVRE;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2021-09-21;;;;176677007;
7;2021;Audiência Pública;Fase Certame;Audiência Pública, futura e eventual contratação de prestação de serviços continuados de Telefonia Fixa comutada (STFC), para a realização de chamadas locais e de longa distância, com destino a telefones fixos e móveis, originadas de linhas analógicas ou de fluxos E1 e recepção de chamadas em linhas convencio-nais  NR ou diretamente nos ramais DDR e, assim como para a eventual prestação de serviços conti-nuados de Telefonia Móvel Pessoal (SMP - Serviço Móvel Pessoal), através da tecnologia 4G ou 3G pelo sistema digital pós-pago, mediante o fornecimento de acessos móveis, com a disponibilização das estações móveis (aparelhos) em regime de comodato, oferecendo o serviço de voz e dados, de serviços de mensagens de texto e multimídia, adicionais e deslocamentos de chamadas, pacote de dados para acesso à internet através de smartphones, serviços de banda larga através de pen modens e sim cards, serviços de intragrupo, e ferramenta de gestão;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;;2021-10-22;;;;181219238;
8;2021;Audiência Pública;Homologado;Audiência Pública - Unidades de Atendimento aos Cidadãos;SEAP-Secretaria de Estado da Administração e da Previdência;Não;;;Menor Preço;0.00;0.00;2021-10-21;2021-11-04;;;181601400;
10;2021;Audiência Pública;Fase Certame;Audiência Pública por meio de vídeo conferência referente à elaboração de Registro de Preços para futura e eventual aquisição de gêneros alimentícios (relacionados no Edital) para atendimento ao Programa de Alimentação Escolar 2021/2022, com base no art. 83 da Lei Estadual nº 15.608/2007.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Não;;;Menor Preço;;;2021-11-10;;;;182104493;
11;2021;Audiência Pública;Fase Certame;Audiência Pública para possibilitar prévia manifestação dos interessados sobre a minuta do Edital da Concorrência Pública n. 001 2021 SECC, que tem por objeto a contratação de 5 agências de propaganda para a prestação de serviços de publicidade, para atender a Administração Direta e Indireta do Poder Executivo Estadual, incluídas as Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista e demais entidades vinculadas.;SEEC-Secretaria de Estado da Cultura (Antigo SECC);Não;;;Técnica e Preço;0.00;;2021-11-19;;;;176219696;
