numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
1;2020;Concorrência Pública;Homologado;Contratação  de  empresa  especializada  em  Serviços  de Levantamentos  Hidrográficos  Multifeixe, categorias  A  e  B,  conforme  padrões  estabelecidos pela  NORMAM  25,  para  realização  de  serviços nos Canais de Acesso, Bacias de Evolução,Berços de Atracação, Áreas de Fundeio, Áreas de Estudo e  Área  de  Despejo  dos  Portos  do Paraná,  tal como  as especificações contidas neste Edita;APPA-Administração dos Portos de Paranaguá e Antonina;Não;;;Menor Preço;7554494.65;4465613.88;2020-04-08;2020-05-28;;;160405392;1 Ano(s)
2;2020;Concorrência Pública;Homologado;Elaboração de Projetos Arquitetônico e Complementares Executivos para a construção da Sede do Batalhão de Operações Especiais (BOPE), com área estimada de 4.334,00 m2 (quatro mil, trezentos e trinta e quatro metros quadrados), a ser implantada em terreno situado à Rua Sebastiana Santana Fraga s/nº, Bairro Cristal, São José dos Pinhais, Paraná, CEP 83060-500, em frente à Academia Policial Militar do Guatupê e o Instituto Ambiental do Paraná (IAP).;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;377295.68;364900.00;2020-04-14;2020-04-30;;;161617466;
3;2020;Concorrência Pública;Deserto;Elaboração de Laudo estrutural e Projeto de reforço de peças estruturais nas edificações da Secretaria de Estado da Agricultura e do Abastecimento  SEAB, sito à Rua dos Funcionários, n.º 1558 e 1559, Bairro Cabral, Curitiba, Paraná.;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;80163.08;;2020-04-03;;;;163898667;
4;2020;Concorrência Pública;Homologado;Execução de reforma no Instituto de Criminalística, sito a Rua Édipo Ferreira dos Santos Ribas, nº 166, no Município de Ponta Grossa, Paraná.;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;431402.81;411079.81;2020-04-17;2020-04-30;;;152285140;
5;2020;Concorrência Pública;Revogado;Contratação de empresa ou consórcio de empresas para a elaboração de Projeto Arquitetônico e Complementares para a construção da Cidade da Polícia no Município de Curitiba, com área estimada de 36.000,00m² (trinta e seis mil metros quadrados) e área a ser restaurada estimada de 1.361,00m² (um mil, trezentos e sessenta e um metros quadrados), a ser implantada em terreno situado à Avenida Getúlio Vargas, nº 262, Bairro Rebouças, Curitiba, Paraná.;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;4804243.31;;2020-05-28;;;;159402061;
6;2020;Concorrência Pública;Fase Certame;Execução da obra do Centro de Integração Social - CIS, com área construída de 1.717,70 metros quadrados, sito ao Lote 151-A, Gleba 01, 3ª parte, no município de Campo Mourão, Paraná.;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;5899790.23;;2020-05-22;;;;161692662;
7;2020;Concorrência Pública;Homologado;Elaboração de projeto de Reforma, Ampliação, Plano de Prevenção Contra Incêndio e Pânico, aprovação nos órgãos públicos e unificação e regularização dos terrenos onde estão sediados o Instituto Médico Legal e 16ª Subdivisão da Polícia Civil, localizados Av. Manoel Mendes de Camargo, 230, Centro, município de Campo Mourão.;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;248815.35;248800.00;2020-04-13;2020-05-04;;;155270837;
8;2020;Concorrência Pública;Homologado;Elaboração de Laudo Técnico de Obra, com o objetivo de inspeção e diagnóstico dos elementos estruturais e painéis de vedação, execução de ensaios técnicos, análise e compatibilização entre os projetos e sua real execução, bem como elaboração de demais elementos técnicos (possível Projeto Estrutural Complementar de Recuperação, Reforço e/ou Correção, etc.) necessários e suficientes para a conclusão da Obra do Centro da Juventude de Paranaguá  PR, com área total de 2.294,08m².;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;156431.20;117323.40;2020-05-29;2020-06-17;;;159322440;
9;2020;Concorrência Pública;Deserto;Elaboração de Laudo Técnico de Obra, com o objetivo de inspeção e diagnóstico dos elementos estruturais e painéis de vedação, execução de ensaios técnicos, análise e compatibilização entre os projetos e sua real execução, bem como elaboração de demais elementos técnicos (possível Projeto Estrutural Complementar de Recuperação, Reforço e/ou Correção, etc) necessários e suficientes para a conclusão da Obra do Centro da Juventude de Prudentópolis  PR, com área total de 2.294,08 m².;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;156431.20;;2020-05-27;;;;163769042;
10;2020;Concorrência Pública;Homologado;Execução da obra de reforma na Cadeia Pública de Curitiba, 11° Distrito Policial, sita à Rua Manuel Waldomiro de Macedo, nº 2921, bairro CIC, no município de Curitiba, Paraná.;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Não;;;Menor Preço;983656.82;719446.62;2020-05-04;2020-05-12;Avenida Iguaçu 420 6º andar Rebouças Curitiba PR 80230020;;160676957;
11;2020;Concorrência Pública;Homologado;DER/DOP - 29/2019 Execução de recuperação estrutural e revitalização das passarelas metálicas sobre a ponte do Rio Marumbi (60,00m), e sobre a ponte do Rio do Pinto (36,00m), localizadas na rodovia PR-408 no município de Morretes/PR.  ;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;379587.23;333333.33;2020-04-06;2020-08-20;;;160766964;
12;2020;Concorrência Pública;Fase Certame;A presente licitação tem por objeto a concessão de uso para exploração do espaço determinado bomboniere, localizado nos auditórios Bento Munhoz da Rocha Netto e Salvador de Ferrante, conforme especificações no Termo de Referência.;CCTG-Centro Cultural Teatro Guaira;Não;;;Maior Lance;;;2020-03-31;;Rua XV de Novembro 971 Sala 214 Centro Curitiba PR 80060000;;163767562;12 Mês(es)
13;2020;Concorrência Pública;Homologado;Registro de Preços para eventual e futura contratação de empresa de engenharia objetivando a construção de Campos de Futebol de Grama Sintética, programa denominado  ARENA MEU CAMPINHO nos municípios do Estado do Paraná, divididos em 04 (quatro) lotes. ;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Sim;2021-10-14;;Menor Preço;80027012.00;20080174.50;2020-07-30;2020-09-21;Avenida Iguaçu 420 6º andar Rebouças Curitiba PR 80230020;;162224182;
13;2020;Concorrência Pública;Homologado;Registro de Preços para eventual e futura contratação de empresa de engenharia objetivando a construção de Campos de Futebol de Grama Sintética, programa denominado  ARENA MEU CAMPINHO nos municípios do Estado do Paraná, divididos em 04 (quatro) lotes. ;PRED-Paraná Edificações (Lei 21352/2023 - Extinto);Sim;2021-10-12;;Menor Preço;80027012.00;20080174.50;2020-07-30;2020-09-21;Avenida Iguaçu 420 6º andar Rebouças Curitiba PR 80230020;;162224182;
14;2020;Concorrência Pública;Cancelado;Contratação de empresa especializada, para prestação de serviços, pelo período de 12 (doze) meses para a execução do Projeto Karatê nas Unidades Socioeducativas  - Projeto Piá Bom de Karatê  oferta de aulas práticas, com intervenções teóricas, presenciais de Karatê, para adolescentes que cumprem Medida Socioeducativa de Internação, Internação Provisória e Semiliberdade em Centros de Socioeducação e Casas de Semiliberdade do Estado do Paraná, com fornecimento de materiais, equipamentos e insumos diversos para realização das aulas e eventos extras, de acordo com as especificações contidas no Projeto Técnico, em 03 (três) lotes para atender a Secretaria de Estado da Justiça, Família e Trabalho - SEJUF.;SEJU-Secretaria de Estado da Justiça e Cidadania (Antigo SEJUF);Não;;;Menor Preço;977006.73;;2020-04-07;;;;157940147;
