orgao;numprocesso;ano;modalidade;lote;classeitem;numeroitem;item;quantidade;valorunitario
ADAPAR-Agência de Defesa Agropecuária do Paraná;37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3;8502;4029;Sabonete, TIPO: Líquido cremoso opaco (perolado), USO: Higiene das mãos, MEDIDA DE PH: Entre 6,0 e 8,0, COMPOSIÇÃO: À base de lauril éter sulfato de sódio, cocoamidopropil betaína, fragrância e demais substâncias permitidas, FRAGRÂNCIA: Erva doce, lavanda ou floral, EMBALAGEM: Bombona plástica de 5 litros, com tampa rosqueável e lacre de segurança, UNID. DE MEDIDA: Unitário;383.00;10.8900
ADAPAR-Agência de Defesa Agropecuária do Paraná;144;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;7101;63693;Cadeira Giratória, Espaldar alto, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;25.00;685.6200
ADAPAR-Agência de Defesa Agropecuária do Paraná;543;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;301;10756;Posto, TIPO: Vigilante Armado, CARGA HORÁRIA: 12 x 36 horas, PERÍODO: Todos os dias do mês, Diurno, CARACTERÍSTICAS ADICIONAIS: Com equipamento e uniforme, UNID. DE MEDIDA: Unitário;1.00;13108.6600
ADAPAR-Agência de Defesa Agropecuária do Paraná;543;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;301;9982;Posto, TIPO: Vigilante Armado, CARGA HORÁRIA: 12 x 36 horas, PERÍODO: Todos os dias do mês, Noturno, CARACTERÍSTICAS ADICIONAIS: Com equipamento e uniforme, UNID. DE MEDIDA: Unitário;1.00;14138.2800
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;595;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;7505;96356;Fragmentadora de Papel, ESPECIFICAÇÃO: Automática, início e fim, parada e reversão em caso de excesso de papel, engrenagens e pentes raspadores mistos, capacidade de fragmentação de 15 a 20 folhas (75g/m²), capacidade do cesto de 30 litros, formato do corte em partículas, nível de ruído 65DB, nível de segurança P4, potência mínima do motor de 500W, segurança das mãos, sensor de lixeira cheia, tempo de funcionamento continuo de 30 minutos, com sensor de sobrecarga térmica, fragmentar clipes, grampos, CDs e cartões de plástico (exemplo cartão de crédito), voltagem sendo 110V/220V, com rodízio para locomoção, UNID. DE MEDIDA: Unitário;10.00;1730.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);15;2024;Pregão Eletrônico (Lei Federal 14.133/2021);18;6203;62400;Lâmpada, TIPO: LED tubular, TENSÃO: Bivolt, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;750.00;5.1000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);543;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4;301;10756;Posto, TIPO: Vigilante Armado, CARGA HORÁRIA: 12 x 36 horas, PERÍODO: Todos os dias do mês, Diurno, CARACTERÍSTICAS ADICIONAIS: Com equipamento e uniforme, UNID. DE MEDIDA: Unitário;1.00;13669.6400
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);543;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4;301;9982;Posto, TIPO: Vigilante Armado, CARGA HORÁRIA: 12 x 36 horas, PERÍODO: Todos os dias do mês, Noturno, CARACTERÍSTICAS ADICIONAIS: Com equipamento e uniforme, UNID. DE MEDIDA: Unitário;1.00;14743.2400
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);595;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;7505;96356;Fragmentadora de Papel, ESPECIFICAÇÃO: Automática, início e fim, parada e reversão em caso de excesso de papel, engrenagens e pentes raspadores mistos, capacidade de fragmentação de 15 a 20 folhas (75g/m²), capacidade do cesto de 30 litros, formato do corte em partículas, nível de ruído 65DB, nível de segurança P4, potência mínima do motor de 500W, segurança das mãos, sensor de lixeira cheia, tempo de funcionamento continuo de 30 minutos, com sensor de sobrecarga térmica, fragmentar clipes, grampos, CDs e cartões de plástico (exemplo cartão de crédito), voltagem sendo 110V/220V, com rodízio para locomoção, UNID. DE MEDIDA: Unitário;6.00;1730.0000
Assessoria de Planejamento e Ações Estratégicas - ASPLAN;54;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2;5801;91699;Rádio Transceptor Portátil, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com o Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;255.00;3900.0000
Câmara Municipal de Rondonópolis/MT;847;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5;306;9809;Posto, Auxiliar de serviços gerais, 40 horas semanais de segunda a sexta, CARACTERÍSTICAS ADICIONAIS: Com uniforme e Equipamentos de Proteção Individual - EPI's, UNID. DE MEDIDA: Unitário;18.00;3348.1600
Câmara Municipal de Rondonópolis/MT;847;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5;306;11148;Posto, Auxiliar de serviços gerais, 40 horas semanais, De segunda a sexta, Diurno, INSALUBRIDADE: 40%, CARACTERÍSTICAS ADICIONAIS: Com uniforme e Equipamentos de Proteção Individual - EPI's, UNID. DE MEDIDA: Unitário;7.00;4228.8100
