numprocesso;ano;modalidade;lote;classeitem;numeroitem;item;num_protocolo_aax;data;valor;cpf_cnpj;nome_razaosocial
45;2023;Pregão Eletrônico;5;8910;1415;Chá, SABOR: Mate queimado natural, TIPO: Preparo instantâneo, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades e substâncias estranhas a sua natureza, EMBALAGEM: Caixa com 25 saquinhos, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: 40g, UNID. DE MEDIDA: Unitário;200825144;2023-04-13;2.5500;42671235000155;VILLAS CESTAS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
45;2023;Pregão Eletrônico;10;8917;5340;Água mineral natural, CLASSIFICAÇÃO: Gaseificada, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;200825144;2023-04-13;1.1700;42671235000155;VILLAS CESTAS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
45;2023;Pregão Eletrônico;1;8906;1512;Leite, TIPO: UHT Integral, ASPECTO: Líquido, PROCESSO FABRICAÇÃO: Pasteurizado, COMPOSIÇÃO: Leite de vaca e estabilizantes, ODOR: Característico, SABOR: Característico, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades e quaisquer substâncias estranhas a sua natureza, EMBALAGEM: Caixa longa vida, com 1 litro, UNID. DE MEDIDA: Unitário;200825144;2023-04-13;5.3600;42671235000155;VILLAS CESTAS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
310;2023;Pregão Eletrônico;14;6501;60098;OLAPARIBE, 150 MG, Comprimido revestido, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;205902287;2023-07-18;188.8500;60318797000100;ASTRAZENECA DO BRASIL LTDA.
310;2023;Pregão Eletrônico;7;6501;24201;Brentuximabe, 50 mg, Pó liofilizado para solução injetável, Frasco-ampola, VIA DE ADMINISTRAÇÃO: Intravenosa, UNID. DE MEDIDA: Unitário;206245395;2023-08-18;13098.8800;09053134000145;ELFA MEDICAMENTOS S.A.
124;2023;Pregão Eletrônico;28;6501;57875;Trametinibe, Dimetilsulfóxido, 0,5 mg, Comprimido revestido, Blister, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;207657239;2023-08-21;128.2000;56994502002779;NOVARTIS BIOCIENCIAS S/A
124;2023;Pregão Eletrônico;27;6501;49642;Trametinibe, Dimetilsulfóxido, 2mg, Comprimido, Blister, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;207657239;2023-08-21;512.8000;56994502002779;NOVARTIS BIOCIENCIAS S/A
124;2023;Pregão Eletrônico;4;6501;40712;Dabrafenibe, 75 mg, Cápsula , Blister, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;207657239;2023-08-21;223.0200;56994502002779;NOVARTIS BIOCIENCIAS S/A
249;2023;Pregão Eletrônico;25;6501;43093;Tiamazol, 5 mg, Comprimido, Blister, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;206988479;2023-08-22;0.1600;81706251000198;PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA
249;2023;Pregão Eletrônico;4;6501;48582;Alogliptina, 25mg, Comprimido revestido, Blister, VIA DE ADMINISTRAÇÃO: Oral, UNID. DE MEDIDA: Unitário;206988479;2023-08-22;3.3100;81706251000198;PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA
