numprocesso,objeto,orgao,datahomologacao,registrodepreco,tempoprazocontrato,valor_estimado,valor_ou_desconto_homologado,dataabertura,datahomologacao__dup1,adesao_ata_srp-2024__qtd_registros,adesao_ata_srp-2024__sum_lote_num,adesao_ata_srp-2024__mean_lote_num,adesao_ata_srp-2024__sum_classeitem_num,adesao_ata_srp-2024__mean_classeitem_num,adesao_ata_srp-2024__sum_numeroitem_num,adesao_ata_srp-2024__mean_numeroitem_num,adesao_ata_srp-2024__sum_item_num,adesao_ata_srp-2024__mean_item_num,adesao_ata_srp-2024__sum_quantidade_num,adesao_ata_srp-2024__mean_quantidade_num,adesao_ata_srp-2024__sum_valorunitario_num,adesao_ata_srp-2024__mean_valorunitario_num,alteracoes_ata_srp-2024__qtd_registros,alteracoes_ata_srp-2024__sum_lote_num,alteracoes_ata_srp-2024__mean_lote_num,alteracoes_ata_srp-2024__sum_classeitem_num,alteracoes_ata_srp-2024__mean_classeitem_num,alteracoes_ata_srp-2024__sum_numeroitem_num,alteracoes_ata_srp-2024__mean_numeroitem_num,alteracoes_ata_srp-2024__sum_item_num,alteracoes_ata_srp-2024__mean_item_num,alteracoes_ata_srp-2024__sum_valor_num,alteracoes_ata_srp-2024__mean_valor_num,contratos-2024__qtd_registros,contratos-2024__sum_numcontrato_num,contratos-2024__mean_numcontrato_num,contratos-2024__sum_anocontrato_num,contratos-2024__mean_anocontrato_num,empresas_participantes-2024__qtd_registros,empresas_participantes-2024__sum_nrlote_num,empresas_participantes-2024__mean_nrlote_num,empresas_participantes-2024__sum_cnpjcpfparticipante_num,empresas_participantes-2024__mean_cnpjcpfparticipante_num,empresas_participantes-2024__sum_razaosocialnomeparticipante_num,empresas_participantes-2024__mean_razaosocialnomeparticipante_num,empresas_participantes-2024__sum_valorpropostolote_num,empresas_participantes-2024__mean_valorpropostolote_num,itens-2024__qtd_registros,itens-2024__sum_nrlote_num,itens-2024__mean_nrlote_num,itens-2024__sum_classeitem_num,itens-2024__mean_classeitem_num,itens-2024__sum_numeroitem_num,itens-2024__mean_numeroitem_num,itens-2024__sum_item_num,itens-2024__mean_item_num,itens-2024__sum_quantidade_num,itens-2024__mean_quantidade_num,itens-2024__sum_valor_estimado_unitario_num,itens-2024__mean_valor_estimado_unitario_num,itens-2024__sum_valor_ou_desconto_homologado_unitario_num,itens-2024__mean_valor_ou_desconto_homologado_unitario_num,lotes-2024__qtd_registros,lotes-2024__sum_nrlote_num,lotes-2024__mean_nrlote_num,lotes-2024__sum_valor_estimado_num,lotes-2024__mean_valor_estimado_num,lotes-2024__sum_valor_ou_desconto_homologado_num,lotes-2024__mean_valor_ou_desconto_homologado_num,orgaos_participantes-2024__qtd_registros,orgaos_participantes-2024__sum_nrlote_num,orgaos_participantes-2024__mean_nrlote_num,orgaos_participantes-2024__sum_classeitem_num,orgaos_participantes-2024__mean_classeitem_num,orgaos_participantes-2024__sum_numeroitem_num,orgaos_participantes-2024__mean_numeroitem_num,orgaos_participantes-2024__sum_item_num,orgaos_participantes-2024__mean_item_num,orgaos_participantes-2024__sum_quantidadeprevista_num,orgaos_participantes-2024__mean_quantidadeprevista_num,publicidade-2024__qtd_registros,_filtro_obras_aplicado,anomaly_score,is_anomalous
6,"Audiência Pública através de vídeo conferência que visa a contratação de empresa especializada para prestação de serviços continuados, com dedicação exclusiva de mão de obra, de Monitores de Ressocialização Prisional e Encarregados Administrativos com a metodologia de contratação por postos de trabalho, com fornecimento de uniformes e EPIs, para atendimento as unidades prisionais do Departamento de Polícia Penal - DEPPEN.",SEAP-Secretaria de Estado da Administração e da Previdência,nan,Não,nan,0.00,nan,2024-04-23,nan,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6174.0,3087.0,4049.0,2024.5,7.0,9.0,1.2857142857142858,125206431000949.0,17886633000135.57,,,3612444.64,516063.52,26.0,28.0,1.0769230769230769,125101.0,4811.576923076923,1385767.0,53298.730769230766,,,24417.0,939.1153846153846,690460372.71,28769182.196250003,302321.65,15116.0825,13.0,15.0,1.1538461538461537,694606592.14,63146053.83090909,3612444.64,516063.52,16.0,17.0,1.0625,117662.0,7353.875,886474.0,55404.625,,,14408.0,900.5,,True,-0.036173917027274294,0
16,"Audiência Pública que tratará sobre a Licitação para futura contratação integrada de empresa para elaboração dos projetos básicos, executivos de arquitetura e complementares de engenharia, retrofit e a execução das obras de construção do Centro de Tecnologia, Inovação, Lazer e Cultura, Fábrica de Ideias, no município de Curitiba.",SECID-Secretaria de Estado das Cidades (Antigo SEDU),nan,Não,nan,0.00,nan,2024-12-18,nan,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1386.0,1386.0,2024.0,2024.0,57.0,536.0,9.403508771929825,825957580835325.0,14490483874303.947,,,134909.39,2366.8314035087724,31.0,212.0,6.838709677419355,130129.0,4197.709677419355,1692703.0,54603.32258064516,,,153242.0,4943.290322580645,446185.00080000004,15935.178600000001,290.91020000000003,17.112364705882356,36.0,290.0,8.055555555555555,574926.1,17422.00303030303,37889.12,1722.2327272727273,18.0,171.0,9.5,117341.0,6518.944444444444,1022930.0,56829.444444444445,,,3230.0,179.44444444444446,,True,-0.08971092987932183,0
3,"Chamamento Público para prospecção no mercado de empresas que manifestem interesse em apresentar soluções e propostas de ERP Enterprise Resource Planning, na modalidade SaaS  Software como Serviço, bem como os requisitos mínimos necessários de boas práticas para a implantação, suporte, atualização e manutenção legal e tecnológica evolutiva da solução.",CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,nan,Não,nan,nan,nan,2024-05-09,nan,35.0,274.0,7.828571428571428,311868.0,8910.514285714286,411377.0,11753.628571428571,,,16824.0,480.6857142857143,129.84,3.709714285714286,,,,,,,,,,,,7.0,26727.0,3818.1428571428573,14172.0,2024.5714285714287,44.0,370.0,8.409090909090908,827743021242559.0,18812341391876.34,,,88435184.16,2056632.1897674417,48.0,373.0,7.770833333333333,228506.0,4760.541666666667,2245056.0,46772.0,,,378617.0,7887.854166666667,140899061.63,2997852.3751063826,87526955.4725,2035510.592383721,49.0,375.0,7.653061224489796,143255707.88,2984493.9141666666,88435211.66,2009891.174090909,424.0,3528.0,8.320754716981131,3777983.0,8910.337264150943,6394209.0,15080.681603773584,,,275691.0,650.2146226415094,,True,-0.016853107099978226,0
1,"Contratação de empresa para a execução de obra comum de engenharia, construção de muro de arrimo no Escritório Regional do DER/PR, nominado Vale do Chopim, situado á Avenida Sete de Setembro, nº 363,  município de Pato Branco, Paraná.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,2024-04-08,Não,nan,86105.41,nan,2024-03-13,2024-04-08,2.0,2.0,1.0,18208.0,9104.0,132660.0,66330.0,,,203.0,101.5,156.8,78.4,,,,,,,,,,,,5.0,23006.0,4601.2,10120.0,2024.0,87.0,3790.0,43.5632183908046,305817364005628.0,3515142115007.2183,,,9956243.14,114439.5763218391,108.0,4135.0,38.28703703703704,207068.0,1917.2962962962963,7672775.0,71044.21296296296,,,786135.0,7279.027777777777,12425547.85,118338.55095238095,9568993.46,111267.3658139535,108.0,4135.0,38.28703703703704,25915571.53,246814.96695238096,9897224.14,115084.00162790698,22.0,32.0,1.4545454545454546,192697.0,8758.954545454546,1322747.0,60124.86363636364,,,8257.0,375.3181818181818,,True,0.13278949013328012,1
2,"Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em Guarapuava, numa extensão total de 11,52 km.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,nan,Não,nan,120459821.90,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,5.0,28322.0,5664.4,10120.0,2024.0,50.0,888.0,17.76,167382866375491.0,3347657327509.82,,,12209596.590000002,244191.93180000002,75.0,952.0,12.693333333333333,147534.0,1967.12,4297019.0,57293.58666666667,,,108722.0,1449.6266666666668,157002185.312,2343316.198686567,12204622.74,244092.4548,66.0,930.0,14.090909090909092,199415978.64000002,3115874.6662500002,12209596.590000002,244191.93180000002,94.0,310.0,3.297872340425532,120141.0,1278.095744680851,8524862.0,90690.02127659574,,,25950.0,276.06382978723406,,True,0.008687861564774857,1
3,"Contratação de empresa para execução das obras de implantação da rodovia PR-990, entre a PR-364 e a cidade de Rebouças, numa extensão de 12,60 km.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,2024-05-07,Não,nan,101396876.92,nan,2024-03-19,2024-05-07,35.0,274.0,7.828571428571428,311868.0,8910.514285714286,411377.0,11753.628571428571,,,16824.0,480.6857142857143,129.84,3.709714285714286,,,,,,,,,,,,7.0,26727.0,3818.1428571428573,14172.0,2024.5714285714287,44.0,370.0,8.409090909090908,827743021242559.0,18812341391876.34,,,88435184.16,2056632.1897674417,48.0,373.0,7.770833333333333,228506.0,4760.541666666667,2245056.0,46772.0,,,378617.0,7887.854166666667,140899061.63,2997852.3751063826,87526955.4725,2035510.592383721,49.0,375.0,7.653061224489796,143255707.88,2984493.9141666666,88435211.66,2009891.174090909,424.0,3528.0,8.320754716981131,3777983.0,8910.337264150943,6394209.0,15080.681603773584,,,275691.0,650.2146226415094,,True,-0.016853107099978226,0
4,"Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466
entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em
Guarapuava, numa extensão total de 11,52 km",DER-Departamento de Estradas de Rodagem do Estado do Paraná,2024-07-02,Não,nan,120459821.90,nan,2024-03-18,2024-07-02,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7318.0,3659.0,4048.0,2024.0,5.0,24.0,4.8,26500333861077.0,5300066772215.4,,,118211070.0,23642214.0,17.0,72.0,4.235294117647059,24842.0,1461.2941176470588,1294501.0,76147.11764705883,,,17.0,1.0,121349889.92,7584368.12,118211070.0,23642214.0,17.0,72.0,4.235294117647059,125397374.24000001,7837335.890000001,118211070.0,23642214.0,40.0,96.0,2.4,356200.0,8905.0,184144.0,4603.6,,,12914.0,322.85,,True,-0.05119906652465961,0
6,Contratação de empresa especializada em engenharia e/ou arquitetura para serviço de elaboração de Laudo Técnico Conclusivo de Avaliação Estrutural para a Edificação do Campus de Apucarana - da Unespar,UNESPAR-Universidade Estadual do Paraná,2024-05-22,Não,nan,49595.49,nan,2024-04-09,2024-05-22,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6174.0,3087.0,4049.0,2024.5,7.0,9.0,1.2857142857142858,125206431000949.0,17886633000135.57,,,3612444.64,516063.52,26.0,28.0,1.0769230769230769,125101.0,4811.576923076923,1385767.0,53298.730769230766,,,24417.0,939.1153846153846,690460372.71,28769182.196250003,302321.65,15116.0825,13.0,15.0,1.1538461538461537,694606592.14,63146053.83090909,3612444.64,516063.52,16.0,17.0,1.0625,117662.0,7353.875,886474.0,55404.625,,,14408.0,900.5,,True,-0.036173917027274294,0
7,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DA PRAÇA INTERNA ENTRE OS BLOCOS A, E, D E H DO CÂMPUS SANTA CRUZ DA UNICENTRO, EM GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,nan,Não,nan,285583.30,nan,2024-05-21,nan,8.0,29.0,3.625,56837.0,7104.625,569220.0,71152.5,,,3100.0,387.5,5849.99,731.24875,,,,,,,,,,,,19.0,111888.0,5888.8421052631575,38465.0,2024.4736842105262,20.0,99.0,4.95,174781446187627.0,8739072309381.35,,,114341849.99000001,5717092.499500001,26.0,120.0,4.615384615384615,88292.0,3395.846153846154,1318223.0,50700.88461538462,,,67638.0,2601.4615384615386,39506436.039299995,1519478.309203846,39318317.03,1965915.8515,26.0,120.0,4.615384615384615,141891866.32999998,5457379.474230768,114341849.99000001,5717092.499500001,30.0,104.0,3.466666666666667,216756.0,7225.2,2102374.0,70079.13333333333,,,67620.0,2254.0,,True,-0.036940630319841905,0
8,"Contratação de empresa para a prestação de Serviços de Engenharia de Reforma na Superintendência Regional Campos Gerais do DER, localizada na Avenida Presidente Kennedy, rodovia BR-376 Km 493 - 700 metros, CEP 84043-540, com área aproximada de 6.651,15 m2.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,2024-04-08,Não,nan,1554100.26,nan,2024-03-20,2024-04-08,3.0,3.0,1.0,21009.0,7003.0,251514.0,83838.0,,,2545.0,848.3333333333334,8232.0,2744.0,,,,,,,,,,,,7.0,42399.0,6057.0,14169.0,2024.142857142857,7.0,10.0,1.4285714285714286,223218953001047.0,31888421857292.43,,,13504031.030000001,1929147.2900000003,15.0,20.0,1.3333333333333333,43745.0,2916.3333333333335,925900.0,61726.666666666664,,,134425.0,8961.666666666666,2153524.55,165655.7346153846,1431535.82,143153.582,12.0,17.0,1.4166666666666667,28736983.03,2873698.3030000003,13504031.030000001,1929147.2900000003,5.0,8.0,1.6,37721.0,7544.2,390166.0,78033.2,,,3761.0,752.2,,True,-0.14130857001144648,0
