numprocesso,objeto,orgao,adesao_ata_srp-2024__qtd_registros,alteracoes_ata_srp-2024__qtd_registros,contratos-2024__qtd_registros,empresas_participantes-2024__qtd_registros,itens-2024__qtd_registros,lotes-2024__qtd_registros,orgaos_participantes-2024__qtd_registros,publicidade-2024__qtd_registros,anomaly_score,is_anomalous
6,"Audiência Pública através de vídeo conferência que visa a contratação de empresa especializada para prestação de serviços continuados, com dedicação exclusiva de mão de obra, de Monitores de Ressocialização Prisional e Encarregados Administrativos com a metodologia de contratação por postos de trabalho, com fornecimento de uniformes e EPIs, para atendimento as unidades prisionais do Departamento de Polícia Penal - DEPPEN.",SEAP-Secretaria de Estado da Administração e da Previdência,,,2.0,7.0,26.0,13.0,16.0,,-0.036173917027274294,0
16,"Audiência Pública que tratará sobre a Licitação para futura contratação integrada de empresa para elaboração dos projetos básicos, executivos de arquitetura e complementares de engenharia, retrofit e a execução das obras de construção do Centro de Tecnologia, Inovação, Lazer e Cultura, Fábrica de Ideias, no município de Curitiba.",SECID-Secretaria de Estado das Cidades (Antigo SEDU),,,1.0,57.0,31.0,36.0,18.0,,-0.08971092987932183,0
3,"Chamamento Público para prospecção no mercado de empresas que manifestem interesse em apresentar soluções e propostas de ERP Enterprise Resource Planning, na modalidade SaaS  Software como Serviço, bem como os requisitos mínimos necessários de boas práticas para a implantação, suporte, atualização e manutenção legal e tecnológica evolutiva da solução.",CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,35.0,,7.0,44.0,48.0,49.0,424.0,,-0.016853107099978226,0
1,"Contratação de empresa para a execução de obra comum de engenharia, construção de muro de arrimo no Escritório Regional do DER/PR, nominado Vale do Chopim, situado á Avenida Sete de Setembro, nº 363,  município de Pato Branco, Paraná.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,2.0,,5.0,87.0,108.0,108.0,22.0,,0.13278949013328012,1
2,"Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em Guarapuava, numa extensão total de 11,52 km.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,5.0,50.0,75.0,66.0,94.0,,0.008687861564774857,1
3,"Contratação de empresa para execução das obras de implantação da rodovia PR-990, entre a PR-364 e a cidade de Rebouças, numa extensão de 12,60 km.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,35.0,,7.0,44.0,48.0,49.0,424.0,,-0.016853107099978226,0
4,"Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466
entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em
Guarapuava, numa extensão total de 11,52 km",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,2.0,5.0,17.0,17.0,40.0,,-0.05119906652465961,0
6,Contratação de empresa especializada em engenharia e/ou arquitetura para serviço de elaboração de Laudo Técnico Conclusivo de Avaliação Estrutural para a Edificação do Campus de Apucarana - da Unespar,UNESPAR-Universidade Estadual do Paraná,,,2.0,7.0,26.0,13.0,16.0,,-0.036173917027274294,0
7,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DA PRAÇA INTERNA ENTRE OS BLOCOS A, E, D E H DO CÂMPUS SANTA CRUZ DA UNICENTRO, EM GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,8.0,,19.0,20.0,26.0,26.0,30.0,,-0.036940630319841905,0
8,"Contratação de empresa para a prestação de Serviços de Engenharia de Reforma na Superintendência Regional Campos Gerais do DER, localizada na Avenida Presidente Kennedy, rodovia BR-376 Km 493 - 700 metros, CEP 84043-540, com área aproximada de 6.651,15 m2.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,3.0,,7.0,7.0,15.0,12.0,5.0,,-0.14130857001144648,0
9,"Contratação de empresa especializada para execução de obra de restauro do Monumento Rodoviário Poty Lazzarotto, localizado no Entroncamento da PRC 280, Trevo da CODAPAR, no município de Palmas, Paraná.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,6.0,17.0,42.0,26.0,22.0,,-0.11158558172896288,0
10,"Edital de licitação na modalidade de concorrência para contratação de empresa especializada em serviços de engenharia, abrangendo confecção de projetos, laudos e execução de serviços de reforma predial, incluindo fornecimento de materiais, no campi de Paranavaí da UNESPAR. Este edital está fundamentado na Lei Federal 14.133/2021 e no Decreto Estadual 10.086/2022.",UNESPAR-Universidade Estadual do Paraná,,,2.0,26.0,42.0,27.0,2.0,,-0.12520974099951548,0
12,"CONTRATACAO DE EMPRESA PARA ELABORACAO DE PROJETOS COMPLEMENTARES, ORCAMENTO E EXECUCAO DE REFORMA DO ANTIGO PRONTO SOCORRO OBSTETRICO PARA INSTALACAO DE UM EQUIPAMENTO DE RESSONANCIA MAGNETICA COM AREA DE 250,45 METROS QUADRADO",UEL-Universidade Estadual de Londrina,,,2.0,135.0,77.0,84.0,48.0,,0.0616607605139724,1
